Gear,GearInches,Total Time,Avg Time,Count,Avg Grade,Avg HR,Min HR,Max HR,Avg CAD,Max CAD,Avg POW,Max POW,Avg KPH,Max KPH
1x36,0,1065,56.1,19,0.064,0,0,0,84,94,217,316,11.97,14.34
1x42,0,571,95.2,6,0.068,0,0,0,86,93,202,271,10.51,12.02
1x32,0,543,23.6,23,0.055,0,0,0,78,92,210,405,13.26,16.03
1x11,2,431,107.8,4,-0.059,0,0,0,71,98,51,480,49.13,58.05
1x28,0,363,21.4,17,0.071,0,0,0,66,94,155,427,13.44,20.45
1x25,1,236,14.8,16,-0.002,0,0,0,66,90,139,349,15.02,27.25
1x22,1,157,12.1,13,-0.007,0,0,0,66,90,67,376,20.82,30.67
1x15,1,145,16.1,9,0.199,0,0,0,60,99,104,734,24.78,46.72
1x17,1,142,12.9,11,-0.045,0,0,0,65,100,84,432,28.89,51.32
1x19,1,139,10.7,13,-0.01,0,0,0,59,85,67,329,22.18,40.65
1x13,2,121,20.2,6,-0.056,0,0,0,67,97,33,331,43.56,52.64
1x50,0,80,80,1,0.091,0,0,0,86,88,231,271,9.37,9.95
